seat_num,Area,Points
1288,179637.5,"[(224, 503), (217, 534), (309, 560), (511, 564), (519, 700), (753, 719), (1154, 562), (1214, 523), (1210, 457), (1013, 456), (712, 400)]"
2030,212569.5,"[(359, 363), (269, 450), (211, 497), (127, 532), (66, 548), (33, 569), (294, 569), (298, 622), (705, 620), (1018, 596), (1211, 570), (1209, 517), (1058, 474), (1023, 457), (874, 348)]"
913,94376.5,"[(463, 487), (166, 508), (18, 512), (14, 528), (310, 570), (718, 610), (905, 615), (1095, 622), (1207, 625), (1204, 591), (1066, 561), (1032, 542), (970, 510)]"
906,78827.0,"[(448, 510), (243, 530), (74, 533), (16, 535), (18, 556), (435, 595), (791, 610), (958, 620), (1115, 618), (1209, 624), (1209, 593), (1013, 558), (924, 526)]"
1538,208481.5,"[(326, 410), (257, 448), (174, 492), (107, 528), (22, 549), (28, 572), (68, 588), (69, 606), (81, 619), (514, 626), (802, 626), (1142, 608), (1211, 599), (1211, 517), (1131, 504), (1072, 471), (1035, 457), (987, 435), (950, 419), (915, 406)]"
709,85235.0,"[(418, 546), (290, 561), (146, 576), (30, 587), (12, 585), (9, 603), (291, 633), (533, 635), (751, 645), (892, 652), (1149, 655), (1203, 651), (1206, 620), (1093, 604), (1039, 587), (929, 557)]"
1458,187860.0,"[(262, 405), (154, 483), (66, 527), (6, 549), (10, 617), (354, 612), (703, 594), (794, 583), (785, 554), (806, 539), (1129, 520), (1141, 537), (1198, 523), (1187, 472), (1003, 441), (937, 407), (823, 370)]"
2145,225036.0,"[(604, 328), (374, 376), (228, 404), (175, 409), (62, 415), (29, 408), (13, 424), (10, 487), (98, 550), (175, 602), (235, 635), (904, 595), (1059, 583), (1049, 489), (1052, 466), (1070, 451)]"
1114,77322.5,"[(511, 477), (43, 496), (497, 568), (850, 608), (1205, 638), (1206, 609), (1045, 575), (991, 537), (981, 524)]"
1855,214608.5,"[(146, 403), (142, 447), (233, 468), (255, 558), (702, 658), (1008, 567), (1204, 469), (1128, 443), (1060, 431), (973, 419), (937, 405), (854, 374), (681, 307)]"
1869,182609.0,"[(86, 427), (34, 456), (137, 619), (979, 643), (966, 558), (992, 505), (693, 384), (320, 437)]"
1739,239031.0,"[(17, 424), (10, 486), (573, 724), (846, 701), (843, 672), (851, 618), (845, 554), (890, 546), (1115, 531), (1121, 517), (1169, 505), (1175, 466), (600, 356), (250, 415)]"
246,72089.0,"[(244, 525), (4, 559), (5, 619), (378, 609), (706, 588), (918, 573), (1156, 552), (1201, 547), (1201, 539), (705, 524)]"
865,75606.5,"[(499, 462), (9, 483), (216, 515), (783, 574), (1038, 583), (1209, 596), (1212, 562), (1067, 536), (979, 497), (953, 494)]"
